length,metric,model,seed,task,value
4,transition_consistency,cot_true,0,parity,1.0
5,state_accuracy,cot_true,0,parity,1.0
5,final_answer_accuracy,cot_true,0,parity,1.0
5,transition_consistency,cot_true,0,parity,1.0
6,state_accuracy,cot_true,0,parity,1.0
6,final_answer_accuracy,cot_true,0,parity,1.0
6,transition_consistency,cot_true,0,parity,1.0
7,state_accuracy,cot_true,0,parity,1.0
7,final_answer_accuracy,cot_true,0,parity,1.0
7,transition_consistency,cot_true,0,parity,1.0
8,state_accuracy,cot_true,0,parity,1.0
8,final_answer_accuracy,cot_true,0,parity,1.0
8,transition_consistency,cot_true,0,parity,1.0
9,state_accuracy,cot_true,0,parity,1.0
9,final_answer_accuracy,cot_true,0,parity,1.0
9,transition_consistency,cot_true,0,parity,1.0
10,state_accuracy,cot_true,0,parity,1.0
10,final_answer_accuracy,cot_true,0,parity,1.0
10,transition_consistency,cot_true,0,parity,1.0
11,state_accuracy,cot_true,0,parity,1.0
11,final_answer_accuracy,cot_true,0,parity,1.0
11,transition_consistency,cot_true,0,parity,1.0
12,state_accuracy,cot_true,0,parity,1.0
12,final_answer_accuracy,cot_true,0,parity,1.0
12,transition_consistency,cot_true,0,parity,1.0
13,state_accuracy,cot_true,0,parity,1.0
13,final_answer_accuracy,cot_true,0,parity,1.0
13,transition_consistency,cot_true,0,parity,1.0
14,state_accuracy,cot_true,0,parity,1.0
14,final_answer_accuracy,cot_true,0,parity,1.0
14,transition_consistency,cot_true,0,parity,1.0
15,state_accuracy,cot_true,0,parity,1.0
15,final_answer_accuracy,cot_true,0,parity,1.0
15,transition_consistency,cot_true,0,parity,1.0
16,state_accuracy,cot_true,0,parity,1.0
16,final_answer_accuracy,cot_true,0,parity,1.0
16,transition_consistency,cot_true,0,parity,1.0
17,state_accuracy,cot_true,0,parity,1.0
17,final_answer_accuracy,cot_true,0,parity,1.0
17,transition_consistency,cot_true,0,parity,1.0
18,state_accuracy,cot_true,0,parity,1.0
18,final_answer_accuracy,cot_true,0,parity,1.0
18,transition_consistency,cot_true,0,parity,1.0
19,state_accuracy,cot_true,0,parity,1.0
19,final_answer_accuracy,cot_true,0,parity,1.0
19,transition_consistency,cot_true,0,parity,1.0
20,state_accuracy,cot_true,0,parity,1.0
20,final_answer_accuracy,cot_true,0,parity,1.0
20,transition_consistency,cot_true,0,parity,1.0
21,state_accuracy,cot_true,0,parity,1.0
21,final_answer_accuracy,cot_true,0,parity,1.0
21,transition_consistency,cot_true,0,parity,1.0
22,state_accuracy,cot_true,0,parity,1.0
22,final_answer_accuracy,cot_true,0,parity,1.0
22,transition_consistency,cot_true,0,parity,1.0
23,state_accuracy,cot_true,0,parity,1.0
23,final_answer_accuracy,cot_true,0,parity,1.0
23,transition_consistency,cot_true,0,parity,1.0
24,state_accuracy,cot_true,0,parity,1.0
24,final_answer_accuracy,cot_true,0,parity,1.0
24,transition_consistency,cot_true,0,parity,1.0
25,state_accuracy,cot_true,0,parity,1.0
25,final_answer_accuracy,cot_true,0,parity,1.0
25,transition_consistency,cot_true,0,parity,1.0
26,state_accuracy,cot_true,0,parity,1.0
26,final_answer_accuracy,cot_true,0,parity,1.0
26,transition_consistency,cot_true,0,parity,1.0
27,state_accuracy,cot_true,0,parity,1.0
27,final_answer_accuracy,cot_true,0,parity,1.0
27,transition_consistency,cot_true,0,parity,1.0
28,state_accuracy,cot_true,0,parity,1.0
28,final_answer_accuracy,cot_true,0,parity,1.0
28,transition_consistency,cot_true,0,parity,1.0
29,state_accuracy,cot_true,0,parity,1.0
29,final_answer_accuracy,cot_true,0,parity,1.0
29,transition_consistency,cot_true,0,parity,1.0
30,state_accuracy,cot_true,0,parity,1.0
30,final_answer_accuracy,cot_true,0,parity,1.0
30,transition_consistency,cot_true,0,parity,1.0
31,state_accuracy,cot_true,0,parity,1.0
31,final_answer_accuracy,cot_true,0,parity,1.0
31,transition_consistency,cot_true,0,parity,1.0
32,state_accuracy,cot_true,0,parity,0.9996875
32,final_answer_accuracy,cot_true,0,parity,0.99
32,transition_consistency,cot_true,0,parity,0.9996875
33,state_accuracy,cot_true,0,parity,0.9850505050505051
33,final_answer_accuracy,cot_true,0,parity,0.5233333333333333
33,transition_consistency,cot_true,0,parity,0.9845454545454545
34,state_accuracy,cot_true,0,parity,0.9714705882352941
34,final_answer_accuracy,cot_true,0,parity,0.4766666666666667
34,transition_consistency,cot_true,0,parity,0.9712745098039216
35,state_accuracy,cot_true,0,parity,0.9578095238095238
35,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
35,transition_consistency,cot_true,0,parity,0.9565714285714285
36,state_accuracy,cot_true,0,parity,0.9472222222222222
36,final_answer_accuracy,cot_true,0,parity,0.48
36,transition_consistency,cot_true,0,parity,0.9462962962962963
37,state_accuracy,cot_true,0,parity,0.9348648648648649
37,final_answer_accuracy,cot_true,0,parity,0.48333333333333334
37,transition_consistency,cot_true,0,parity,0.9341441441441442
38,state_accuracy,cot_true,0,parity,0.9259649122807018
38,final_answer_accuracy,cot_true,0,parity,0.56
38,transition_consistency,cot_true,0,parity,0.9182456140350878
39,state_accuracy,cot_true,0,parity,0.912051282051282
39,final_answer_accuracy,cot_true,0,parity,0.48
39,transition_consistency,cot_true,0,parity,0.9095726495726496
40,state_accuracy,cot_true,0,parity,0.9043333333333333
40,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
40,transition_consistency,cot_true,0,parity,0.9031666666666667
41,state_accuracy,cot_true,0,parity,0.8911382113821138
41,final_answer_accuracy,cot_true,0,parity,0.49
41,transition_consistency,cot_true,0,parity,0.8904878048780488
42,state_accuracy,cot_true,0,parity,0.8794444444444445
42,final_answer_accuracy,cot_true,0,parity,0.5133333333333333
42,transition_consistency,cot_true,0,parity,0.8820634920634921
43,state_accuracy,cot_true,0,parity,0.8717829457364341
43,final_answer_accuracy,cot_true,0,parity,0.5133333333333333
43,transition_consistency,cot_true,0,parity,0.872093023255814
44,state_accuracy,cot_true,0,parity,0.8640909090909091
44,final_answer_accuracy,cot_true,0,parity,0.47333333333333333
44,transition_consistency,cot_true,0,parity,0.8660606060606061
45,state_accuracy,cot_true,0,parity,0.8554074074074074
45,final_answer_accuracy,cot_true,0,parity,0.4666666666666667
45,transition_consistency,cot_true,0,parity,0.8533333333333334
46,state_accuracy,cot_true,0,parity,0.8494202898550725
46,final_answer_accuracy,cot_true,0,parity,0.52
46,transition_consistency,cot_true,0,parity,0.8455072463768116
47,state_accuracy,cot_true,0,parity,0.8379432624113475
47,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
47,transition_consistency,cot_true,0,parity,0.8406382978723405
48,state_accuracy,cot_true,0,parity,0.8345833333333333
48,final_answer_accuracy,cot_true,0,parity,0.5433333333333333
48,transition_consistency,cot_true,0,parity,0.8347916666666667
49,state_accuracy,cot_true,0,parity,0.8256462585034013
49,final_answer_accuracy,cot_true,0,parity,0.45
49,transition_consistency,cot_true,0,parity,0.8271428571428572
50,state_accuracy,cot_true,0,parity,0.819
50,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
50,transition_consistency,cot_true,0,parity,0.822
51,state_accuracy,cot_true,0,parity,0.8113725490196079
51,final_answer_accuracy,cot_true,0,parity,0.4766666666666667
51,transition_consistency,cot_true,0,parity,0.81
52,state_accuracy,cot_true,0,parity,0.8067307692307693
52,final_answer_accuracy,cot_true,0,parity,0.5133333333333333
52,transition_consistency,cot_true,0,parity,0.8053846153846154
53,state_accuracy,cot_true,0,parity,0.8028301886792453
53,final_answer_accuracy,cot_true,0,parity,0.48
53,transition_consistency,cot_true,0,parity,0.7968553459119497
54,state_accuracy,cot_true,0,parity,0.7946913580246914
54,final_answer_accuracy,cot_true,0,parity,0.52
54,transition_consistency,cot_true,0,parity,0.7935802469135802
55,state_accuracy,cot_true,0,parity,0.7896363636363637
55,final_answer_accuracy,cot_true,0,parity,0.54
55,transition_consistency,cot_true,0,parity,0.7917575757575758
56,state_accuracy,cot_true,0,parity,0.7866071428571428
56,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
56,transition_consistency,cot_true,0,parity,0.7855357142857143
57,state_accuracy,cot_true,0,parity,0.7810526315789473
57,final_answer_accuracy,cot_true,0,parity,0.5033333333333333
57,transition_consistency,cot_true,0,parity,0.7771345029239766
58,state_accuracy,cot_true,0,parity,0.777816091954023
58,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
58,transition_consistency,cot_true,0,parity,0.7757471264367816
59,state_accuracy,cot_true,0,parity,0.7696045197740113
59,final_answer_accuracy,cot_true,0,parity,0.5566666666666666
59,transition_consistency,cot_true,0,parity,0.7674011299435028
60,state_accuracy,cot_true,0,parity,0.7675555555555555
60,final_answer_accuracy,cot_true,0,parity,0.48
60,transition_consistency,cot_true,0,parity,0.7691111111111111
61,state_accuracy,cot_true,0,parity,0.7627322404371585
61,final_answer_accuracy,cot_true,0,parity,0.48333333333333334
61,transition_consistency,cot_true,0,parity,0.762896174863388
62,state_accuracy,cot_true,0,parity,0.7578494623655914
62,final_answer_accuracy,cot_true,0,parity,0.4533333333333333
62,transition_consistency,cot_true,0,parity,0.7651612903225806
63,state_accuracy,cot_true,0,parity,0.757989417989418
63,final_answer_accuracy,cot_true,0,parity,0.49
63,transition_consistency,cot_true,0,parity,0.7538095238095238
64,state_accuracy,cot_true,0,parity,0.7526041666666666
64,final_answer_accuracy,cot_true,0,parity,0.5133333333333333
64,transition_consistency,cot_true,0,parity,0.7490625
65,state_accuracy,cot_true,0,parity,0.7435384615384616
65,final_answer_accuracy,cot_true,0,parity,0.49
65,transition_consistency,cot_true,0,parity,0.7421025641025641
66,state_accuracy,cot_true,0,parity,0.7448484848484849
66,final_answer_accuracy,cot_true,0,parity,0.5333333333333333
66,transition_consistency,cot_true,0,parity,0.7425252525252525
67,state_accuracy,cot_true,0,parity,0.7453233830845771
67,final_answer_accuracy,cot_true,0,parity,0.44666666666666666
67,transition_consistency,cot_true,0,parity,0.7451741293532338
68,state_accuracy,cot_true,0,parity,0.7375
68,final_answer_accuracy,cot_true,0,parity,0.4533333333333333
68,transition_consistency,cot_true,0,parity,0.7368627450980392
69,state_accuracy,cot_true,0,parity,0.7298550724637681
69,final_answer_accuracy,cot_true,0,parity,0.48333333333333334
69,transition_consistency,cot_true,0,parity,0.7304830917874396
70,state_accuracy,cot_true,0,parity,0.7315714285714285
70,final_answer_accuracy,cot_true,0,parity,0.51
70,transition_consistency,cot_true,0,parity,0.7271904761904762
71,state_accuracy,cot_true,0,parity,0.7244131455399061
71,final_answer_accuracy,cot_true,0,parity,0.51
71,transition_consistency,cot_true,0,parity,0.7234272300469483
72,state_accuracy,cot_true,0,parity,0.7210648148148148
72,final_answer_accuracy,cot_true,0,parity,0.5266666666666666
72,transition_consistency,cot_true,0,parity,0.7222222222222222
73,state_accuracy,cot_true,0,parity,0.7222374429223745
73,final_answer_accuracy,cot_true,0,parity,0.5466666666666666
73,transition_consistency,cot_true,0,parity,0.7238356164383561
74,state_accuracy,cot_true,0,parity,0.7162162162162162
74,final_answer_accuracy,cot_true,0,parity,0.52
74,transition_consistency,cot_true,0,parity,0.7200900900900901
75,state_accuracy,cot_true,0,parity,0.7148888888888889
75,final_answer_accuracy,cot_true,0,parity,0.4666666666666667
75,transition_consistency,cot_true,0,parity,0.7161777777777778
76,state_accuracy,cot_true,0,parity,0.7104824561403509
76,final_answer_accuracy,cot_true,0,parity,0.47333333333333333
76,transition_consistency,cot_true,0,parity,0.7115789473684211
77,state_accuracy,cot_true,0,parity,0.712943722943723
77,final_answer_accuracy,cot_true,0,parity,0.43666666666666665
77,transition_consistency,cot_true,0,parity,0.7051515151515152
78,state_accuracy,cot_true,0,parity,0.7040598290598291
78,final_answer_accuracy,cot_true,0,parity,0.48
78,transition_consistency,cot_true,0,parity,0.7057264957264957
79,state_accuracy,cot_true,0,parity,0.7047679324894515
79,final_answer_accuracy,cot_true,0,parity,0.48
79,transition_consistency,cot_true,0,parity,0.7027848101265822
80,state_accuracy,cot_true,0,parity,0.7064583333333333
80,final_answer_accuracy,cot_true,0,parity,0.47
80,transition_consistency,cot_true,0,parity,0.702625
81,state_accuracy,cot_true,0,parity,0.6946913580246914
81,final_answer_accuracy,cot_true,0,parity,0.5033333333333333
81,transition_consistency,cot_true,0,parity,0.6940329218106996
82,state_accuracy,cot_true,0,parity,0.6897560975609756
82,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
82,transition_consistency,cot_true,0,parity,0.6995528455284553
83,state_accuracy,cot_true,0,parity,0.6857831325301205
83,final_answer_accuracy,cot_true,0,parity,0.42
83,transition_consistency,cot_true,0,parity,0.6913253012048193
84,state_accuracy,cot_true,0,parity,0.6923015873015873
84,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
84,transition_consistency,cot_true,0,parity,0.6872222222222222
85,state_accuracy,cot_true,0,parity,0.6896470588235294
85,final_answer_accuracy,cot_true,0,parity,0.5
85,transition_consistency,cot_true,0,parity,0.6876078431372549
86,state_accuracy,cot_true,0,parity,0.6856201550387597
86,final_answer_accuracy,cot_true,0,parity,0.47333333333333333
86,transition_consistency,cot_true,0,parity,0.6815503875968992
87,state_accuracy,cot_true,0,parity,0.6868965517241379
87,final_answer_accuracy,cot_true,0,parity,0.48
87,transition_consistency,cot_true,0,parity,0.6845977011494253
88,state_accuracy,cot_true,0,parity,0.6807954545454545
88,final_answer_accuracy,cot_true,0,parity,0.49333333333333335
88,transition_consistency,cot_true,0,parity,0.6811363636363637
89,state_accuracy,cot_true,0,parity,0.683932584269663
89,final_answer_accuracy,cot_true,0,parity,0.5433333333333333
89,transition_consistency,cot_true,0,parity,0.6791385767790262
90,state_accuracy,cot_true,0,parity,0.6762962962962963
90,final_answer_accuracy,cot_true,0,parity,0.53
90,transition_consistency,cot_true,0,parity,0.6769259259259259
91,state_accuracy,cot_true,0,parity,0.6747985347985348
91,final_answer_accuracy,cot_true,0,parity,0.49333333333333335
91,transition_consistency,cot_true,0,parity,0.6753846153846154
92,state_accuracy,cot_true,0,parity,0.6784057971014493
92,final_answer_accuracy,cot_true,0,parity,0.5266666666666666
92,transition_consistency,cot_true,0,parity,0.6731159420289855
93,state_accuracy,cot_true,0,parity,0.6737992831541219
93,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
93,transition_consistency,cot_true,0,parity,0.6700358422939068
94,state_accuracy,cot_true,0,parity,0.6750709219858156
94,final_answer_accuracy,cot_true,0,parity,0.5133333333333333
94,transition_consistency,cot_true,0,parity,0.6731205673758865
95,state_accuracy,cot_true,0,parity,0.6683157894736842
95,final_answer_accuracy,cot_true,0,parity,0.48
95,transition_consistency,cot_true,0,parity,0.6687017543859649
96,state_accuracy,cot_true,0,parity,0.6652083333333333
96,final_answer_accuracy,cot_true,0,parity,0.52
96,transition_consistency,cot_true,0,parity,0.6647222222222222
97,state_accuracy,cot_true,0,parity,0.6583505154639175
97,final_answer_accuracy,cot_true,0,parity,0.51
97,transition_consistency,cot_true,0,parity,0.6617525773195876
98,state_accuracy,cot_true,0,parity,0.665374149659864
98,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
98,transition_consistency,cot_true,0,parity,0.6669047619047619
99,state_accuracy,cot_true,0,parity,0.6586531986531986
99,final_answer_accuracy,cot_true,0,parity,0.5233333333333333
99,transition_consistency,cot_true,0,parity,0.6586195286195287
100,state_accuracy,cot_true,0,parity,0.6584666666666666
100,final_answer_accuracy,cot_true,0,parity,0.47
100,transition_consistency,cot_true,0,parity,0.6559
101,state_accuracy,cot_true,0,parity,0.6635643564356436
101,final_answer_accuracy,cot_true,0,parity,0.47333333333333333
101,transition_consistency,cot_true,0,parity,0.6601980198019802
102,state_accuracy,cot_true,0,parity,0.6578104575163398
102,final_answer_accuracy,cot_true,0,parity,0.57
102,transition_consistency,cot_true,0,parity,0.6579411764705883
103,state_accuracy,cot_true,0,parity,0.6588025889967638
103,final_answer_accuracy,cot_true,0,parity,0.4766666666666667
103,transition_consistency,cot_true,0,parity,0.6590614886731392
104,state_accuracy,cot_true,0,parity,0.6505448717948717
104,final_answer_accuracy,cot_true,0,parity,0.5066666666666667
104,transition_consistency,cot_true,0,parity,0.655
105,state_accuracy,cot_true,0,parity,0.6506984126984127
105,final_answer_accuracy,cot_true,0,parity,0.52
105,transition_consistency,cot_true,0,parity,0.6538412698412699
106,state_accuracy,cot_true,0,parity,0.6490566037735849
106,final_answer_accuracy,cot_true,0,parity,0.49333333333333335
106,transition_consistency,cot_true,0,parity,0.6525786163522013
107,state_accuracy,cot_true,0,parity,0.6474143302180685
107,final_answer_accuracy,cot_true,0,parity,0.43666666666666665
107,transition_consistency,cot_true,0,parity,0.6495638629283489
108,state_accuracy,cot_true,0,parity,0.6495679012345679
108,final_answer_accuracy,cot_true,0,parity,0.5233333333333333
108,transition_consistency,cot_true,0,parity,0.6493518518518518
109,state_accuracy,cot_true,0,parity,0.6454128440366973
109,final_answer_accuracy,cot_true,0,parity,0.48
109,transition_consistency,cot_true,0,parity,0.6487461773700306
110,state_accuracy,cot_true,0,parity,0.6483030303030303
110,final_answer_accuracy,cot_true,0,parity,0.49
110,transition_consistency,cot_true,0,parity,0.6434848484848484
111,state_accuracy,cot_true,0,parity,0.6428828828828829
111,final_answer_accuracy,cot_true,0,parity,0.46
111,transition_consistency,cot_true,0,parity,0.643903903903904
112,state_accuracy,cot_true,0,parity,0.6402678571428572
112,final_answer_accuracy,cot_true,0,parity,0.52
112,transition_consistency,cot_true,0,parity,0.6414285714285715
113,state_accuracy,cot_true,0,parity,0.6381710914454277
113,final_answer_accuracy,cot_true,0,parity,0.4866666666666667
113,transition_consistency,cot_true,0,parity,0.6466666666666666
114,state_accuracy,cot_true,0,parity,0.6374561403508772
114,final_answer_accuracy,cot_true,0,parity,0.5033333333333333
114,transition_consistency,cot_true,0,parity,0.6445321637426901
115,state_accuracy,cot_true,0,parity,0.6376811594202898
115,final_answer_accuracy,cot_true,0,parity,0.44333333333333336
115,transition_consistency,cot_true,0,parity,0.6432173913043479
116,state_accuracy,cot_true,0,parity,0.6410919540229885
116,final_answer_accuracy,cot_true,0,parity,0.5333333333333333
116,transition_consistency,cot_true,0,parity,0.6372988505747127
117,state_accuracy,cot_true,0,parity,0.6386039886039886
117,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
117,transition_consistency,cot_true,0,parity,0.6373504273504274
118,state_accuracy,cot_true,0,parity,0.6353107344632768
118,final_answer_accuracy,cot_true,0,parity,0.53
118,transition_consistency,cot_true,0,parity,0.6325706214689265
119,state_accuracy,cot_true,0,parity,0.6335854341736694
119,final_answer_accuracy,cot_true,0,parity,0.48
119,transition_consistency,cot_true,0,parity,0.6361904761904762
120,state_accuracy,cot_true,0,parity,0.6332222222222222
120,final_answer_accuracy,cot_true,0,parity,0.5033333333333333
120,transition_consistency,cot_true,0,parity,0.6345833333333334
121,state_accuracy,cot_true,0,parity,0.628595041322314
121,final_answer_accuracy,cot_true,0,parity,0.49666666666666665
121,transition_consistency,cot_true,0,parity,0.6393112947658403
122,state_accuracy,cot_true,0,parity,0.6324043715846994
122,final_answer_accuracy,cot_true,0,parity,0.52
122,transition_consistency,cot_true,0,parity,0.6320765027322405
123,state_accuracy,cot_true,0,parity,0.6306775067750677
123,final_answer_accuracy,cot_true,0,parity,0.4766666666666667
123,transition_consistency,cot_true,0,parity,0.6356910569105692
124,state_accuracy,cot_true,0,parity,0.6292204301075269
124,final_answer_accuracy,cot_true,0,parity,0.47333333333333333
124,transition_consistency,cot_true,0,parity,0.6312903225806452
125,state_accuracy,cot_true,0,parity,0.6256
125,final_answer_accuracy,cot_true,0,parity,0.4766666666666667
125,transition_consistency,cot_true,0,parity,0.6281333333333333
126,state_accuracy,cot_true,0,parity,0.6275925925925926
126,final_answer_accuracy,cot_true,0,parity,0.5166666666666667
126,transition_consistency,cot_true,0,parity,0.6267989417989418
127,state_accuracy,cot_true,0,parity,0.6296062992125985
127,final_answer_accuracy,cot_true,0,parity,0.47
127,transition_consistency,cot_true,0,parity,0.6292125984251968
128,state_accuracy,cot_true,0,parity,0.6222916666666667
128,final_answer_accuracy,cot_true,0,parity,0.53
128,transition_consistency,cot_true,0,parity,0.6223697916666666
2,state_accuracy,cot_pad,0,parity,1.0
2,final_answer_accuracy,cot_pad,0,parity,1.0
2,transition_consistency,cot_pad,0,parity,1.0
3,state_accuracy,cot_pad,0,parity,1.0
3,final_answer_accuracy,cot_pad,0,parity,1.0
3,transition_consistency,cot_pad,0,parity,1.0
4,state_accuracy,cot_pad,0,parity,0.9741666666666666
4,final_answer_accuracy,cot_pad,0,parity,0.8966666666666666
4,transition_consistency,cot_pad,0,parity,0.9741666666666666
5,state_accuracy,cot_pad,0,parity,0.916
5,final_answer_accuracy,cot_pad,0,parity,0.6866666666666666
5,transition_consistency,cot_pad,0,parity,0.932
6,state_accuracy,cot_pad,0,parity,0.8666666666666667
6,final_answer_accuracy,cot_pad,0,parity,0.6666666666666666
6,transition_consistency,cot_pad,0,parity,0.8722222222222222
7,state_accuracy,cot_pad,0,parity,0.840952380952381
7,final_answer_accuracy,cot_pad,0,parity,0.7033333333333334
